date,exchange,fromSymbol,toSymbol,close,high,low,open,volumefrom,volumeto
2019-07-21,Abucoins,QLC,BTC,0.000012,0.000012,0.000012,0.000012,0,0
2019-07-21,Abucoins,OMG,BTC,0.00001613,0.00001613,0.00001613,0.00001613,0,0
2019-07-21,Abucoins,QTUM,BTC,0.001,0.001,0.001,0.001,0,0
2019-07-21,Abucoins,ICN,BTC,0.00008,0.00008,0.00008,0.00008,0,0
2019-07-21,Abucoins,BLOCK,BTC,0.001249,0.001249,0.001249,0.001249,0,0
2019-07-21,Abucoins,ETC,BTC,0.002,0.002,0.002,0.002,0,0
2019-07-21,Abucoins,REP,BTC,0.002,0.002,0.002,0.002,0,0
2019-07-21,Abucoins,PPT,BTC,0.0001201,0.0001201,0.0001201,0.0001201,0,0
2019-07-21,AidosMarket,ADK,BTC,0.0001395,0.000148,0.000129,0.000136,24330.14,3.321
2019-07-21,BCEX,BTC,CKUSD,31997.92,31997.92,28010,30445.1,0.01015,284.8
2019-07-21,BCEX,ETH,USDT,222.89,229.69,219,227.74,34.79,7810.61
2019-07-21,BCEX,ETH,ONT,0.0048,0.0048,0.0048,0.0048,0,0
2019-07-21,BCEX,BTC,VOLLAR,0.0003298,0.0003298,0.0003298,0.0003298,0,0
2019-07-21,BCEX,ETH,EOS,0.028,0.028,0.028,0.028,0,0
2019-07-21,BCEX,BTC,XLM,0.000027,0.000027,0.000027,0.000027,0,0
2019-07-21,BCEX,ONT,CKUSD,2,2.502,2,2.502,15.16,30.32
2019-07-21,BCEX,EOS,CKUSD,11.9,11.9,11.2,11.85,71.96,809.43
2019-07-21,BCEX,RATING,ETH,0.00000279,0.00000279,0.00000279,0.00000279,0,0
2019-07-21,BCEX,ZEC,CKUSD,198.14,198.14,198.14,198.14,0,0
2019-07-21,BCEX,BTC,USDT,10600,10764.15,10371.33,10764.15,2.78,29531.42
2019-07-21,BCEX,ETH,BTC,0.02133,0.02178,0.02116,0.02178,2.212,0.04714
2019-07-21,BCEX,NKN,ETH,0.0001577,0.0001577,0.0001577,0.0001577,0,0
2019-07-21,BCEX,EOS,ETH,0.01934,0.01934,0.0143,0.0143,2.881,0.05572
2019-07-21,BCEX,BHPC,ETH,0.006988,0.006988,0.006988,0.006988,0,0
2019-07-21,BCEX,EOS,USDT,4.441,4.441,4.168,4.426,481.31,2021.76
2019-07-21,BCEX,BHPC,BTC,0.0001344,0.0001356,0.0001321,0.000135,1339500.2,179.7
2019-07-21,BCEX,SDA,ETH,0.00003101,0.00003101,0.00003101,0.00003101,0,0
2019-07-21,BCEX,PST,ETH,0.0007,0.0007,0.0007,0.0007,0,0
2019-07-21,BCEX,ZEC,BTC,0.01629,0.01629,0.01629,0.01629,0,0
2019-07-21,BCEX,ETH,CKUSD,629,632.55,609,632.55,4.801,2976.78
2019-07-21,BCEX,XLM,USDT,0.0935,0.0935,0.09,0.0912,20528.28,1867.04
2019-07-21,BCEX,LTC,CKUSD,266.8,266.8,266.8,266.8,0,0
2019-07-21,BCEX,LTC,BTC,0.007106,0.007106,0.007106,0.007106,0,0
2019-07-21,BCEX,XLM,BTC,0.00003208,0.00003208,0.00003208,0.00003208,0,0
2019-07-21,BCEX,VOLLAR,BTC,0.00015,0.00015,0.00015,0.00015,0,0
2019-07-21,BCEX,PAX,USDT,0.9926,0.9926,0.9926,0.9926,0,0
2019-07-21,BCEX,LKY,ETH,0.00848,0.00848,0.00848,0.00848,0,0
2019-07-21,BCEX,MCRC,CKUSD,0.0168,0.0172,0.0168,0.0172,500,8.4
2019-07-21,BCEX,HSC,ETH,8.8e-7,8.8e-7,8.8e-7,8.8e-7,0,0
2019-07-21,BCEX,WIC,CKUSD,0.4209,0.4209,0.4209,0.4209,0,0
2019-07-21,BCEX,ELF,CKUSD,0.3199,0.3199,0.3199,0.3199,0,0
2019-07-21,BCEX,TIP,ETH,0.001563,0.001563,0.001563,0.001563,0,0
2019-07-21,BCEX,XLM,CKUSD,0.2171,0.2449,0.2171,0.2449,21.72,4.715
2019-07-21,BCEX,XRP,CKUSD,0.8154,0.8154,0.8,0.8,1.9,1.549
2019-07-21,BCEX,LKY,CKUSD,0.49,0.4911,0.49,0.4911,300,147
2019-07-21,BCEX,XRP,BTC,0.00009003,0.00009003,0.00009003,0.00009003,0,0
2019-07-21,BCEX,DOGE,BTC,6.2e-7,6.2e-7,6.2e-7,6.2e-7,0,0
2019-07-21,BCEX,DOGE,CKUSD,0.007329,0.007329,0.007317,0.007317,6000,43.97
2019-07-21,BCEX,NAS,CKUSD,3.273,3.273,3.273,3.273,0,0
2019-07-21,BCEX,NAS,BTC,0.000157,0.000157,0.000157,0.000157,0,0
2019-07-21,BCEX,MT,ETH,0.0000092,0.0000092,0.0000092,0.0000092,0,0
2019-07-21,BCEX,USDT,XLM,0.1057,0.1057,0.1057,0.1057,0,0
2019-07-21,BCEX,PTT,ETH,0.00000116,0.00000116,6.7e-7,6.9e-7,13774056,11.6
2019-07-21,BCEX,QTUM,CKUSD,8.34,8.34,8.34,8.34,0.001,0.00834
2019-07-21,BCEX,USDT,ETH,135.35,135.35,135.35,135.35,0,0
2019-07-21,BCEX,WAVES,CKUSD,1.951,1.951,1.951,1.951,0,0
2019-07-21,BCEX,USDT,BTC,4014.81,4014.81,4014.81,4014.81,0,0
2019-07-21,BCEX,USDT,EOS,4.061,4.061,4.061,4.061,0,0
2019-07-21,BCEX,EMC2,BTC,0.00000825,0.00000825,0.00000825,0.00000825,0,0
2019-07-21,BCEX,ETC,BTC,0.00116,0.00116,0.00116,0.00116,0,0
